"SWIMZONE","LOCALZONE","LOCALPCT","SWIMPCT"
2376,156,97.552607502287,20.618805897994
2376,157,100,60.923374425912
2377,461,100,18.421052631579
2377,462,100,18.571428571429
2377,463,100,25.714285714286
2377,464,100,37.293233082706
2378,146,99.093977067886,20.12423396359
2378,147,26.323323417856,3.455813926751
2378,152,100,46.081580971232
2378,154,100,13.041559541324
2378,292,100,17.296811597103
2379,125,0.816088603906,0.213389915462
2379,126,96.829710144928,16.293844259234
2379,127,0.685738776385,1.463245134599
2379,146,0.906022932114,0.427077665782
2379,147,73.676676582144,22.450976203565
2379,148,100,35.465186205034
2379,149,100,11.705961076793
2379,150,100,4.938452329272
2379,289,100,7.041867210258
2380,129,100,36.261987935937
2380,139,99.767080745342,28.577733831042
2380,140,100,0.251819360666
2380,141,100,19.956684332798
2380,142,100,14.951774539557
2381,107,6.593406593407,0.167014613779
2381,108,60.122699386503,5.455810716771
2381,124,95.872951648796,3.140802598005
2381,125,99.183911396094,7.893760148457
2381,126,3.170289855072,0.162375318952
2381,127,99.314261223615,64.502435629784
2381,128,100,18.677800974252
2382,143,100,35.412942634366
2382,144,100,13.62036255168
2382,145,100,20.852499230051
2382,153,100,29.996854296219
2382,156,2.447392497713,0.117341287684
2383,119,48.185852257896,7.13567839196
2383,120,100,29.711706681556
2383,121,100,63.152614926484
2384,112,100,56.747500166372
2384,113,100,3.435771957601
2384,114,100,11.131901142626
2384,115,100,9.734687213202
2384,117,100,16.340464762563
2384,118,10.606060606061,0.185253109606
2384,119,14.147742103889,0.47748420539
2384,187,100,1.94693744264
2385,110,100,2.595066178959
2385,116,100,47.672838085449
2385,118,89.393939393939,8.155096195939
2385,119,37.666405638215,6.639504425953
2385,285,29.994445473061,2.266687143995
2385,286,100,18.967763948018
2385,288,25.366533748451,13.703044021686
2386,109,0.34516765286,0.082791763153
2386,283,100,10.437143934816
2386,284,100,46.276089928514
2386,285,70.005554526939,4.532958545558
2386,287,100,4.125789530473
2386,288,74.633466251549,34.545226297486
2387,188,100,6.871794871795
2387,189,100,20.666666666667
2387,190,100,13.897435897436
2387,191,100,1.230769230769
2387,192,100,1.74358974359
2387,195,100,6.358974358974
2387,295,100,26.717948717948
2387,296,100,17.897435897436
2387,298,100,4.615384615385
2388,193,100,3.451776649746
2388,194,100,2.906091370558
2388,216,100,13.743654822335
2388,217,100,16.370558375635
2388,218,100,6.560913705584
2388,219,100,8.781725888325
2388,220,100,3.591370558376
2388,221,100,5.380710659898
2388,222,100,1.497461928934
2388,223,100,1.611675126904
2388,224,100,3.908629441624
2388,225,100,1.116751269036
2388,227,100,1.446700507614
2388,228,100,3.718274111675
2388,299,100,1.154822335025
2388,300,100,1.535532994924
2388,453,100,0.736040609137
2388,469,100,11.345177664975
2388,470,100,11.142131979695
2389,133,83.611157138912,9.061594025287
2389,134,100,12.59732651414
2389,135,100,21.165548596633
