"SWIMZONE","LOCALZONE","LOCALPCT","SWIMPCT","LOCALPOP","LOCALEMP","County","AtrFac","ProFac"
2371,108,4.601226993865,1.135751233378,3.9570552147239,5.521472392638,"Benton",0.0113572403966002,0.00325550613706596
2371,279,97.793092477217,23.359316846711,294.357208356423,6.84551647340519,"Benton",0.233238528682051,0.242170413677385
2371,280,100,12.233192994875,152,5,"Benton",0.122658196283283,0.125051814034026
2371,281,100,13.124236474588,161,6,"Benton",0.13098683924079,0.132456197759725
2371,282,100,4.744916263889,61,1,"Benton",0.0477004096657212,0.0501852674741815
2371,290,100,1.665768475621,12,5,"Benton",0.0166572859150138,0.00987251163426522
2371,450,87.340671570418,14.627019794581,177.301563287949,7.86066044133762,"Benton",0.146147153171394,0.145867645527807
2372,130,93.248800548321,6.075210967755,329.168265935573,29.8396161754627,"Benton",0.0607716642021808,0.413306968213684
2372,131,98.014705882353,83.333764851339,1.96029411764706,2665.01985294118,"Benton",0.83332029897048,0.00246136490791127
2372,132,100,9.502424799252,414,97,"Benton",0.0950222696500471,0.519822542291959
2372,133,16.388842861088,1.088599381654,51.2970781552054,9.17775200220928,"Benton",0.0108857671772925,0.064409124586445
2373,107,2.197802197802,0.258508039316,1.73626373626358,0.13186813186812,"Benton",0.00258596044732297,0.00456784444228526
2373,108,35.276073619632,14.864212260667,30.3374233128835,42.3312883435584,"Benton",0.148692725721085,0.0798131226142093
2373,109,99.65483234714,60.2820862451,279.033530571992,93.6755424063116,"Benton",0.60302608431233,0.734094559031333
2373,123,100,6.370376683143,41,4,"Benton",0.0633560309594185,0.107864731735239
2373,124,4.127048351204,0.627805238339,4.127048351204,0.37143435160836,"Benton",0.00629670644223835,0.0108576332502678
2373,130,6.751199451679,3.637577410374,23.8317340644269,2.16038382453728,"Benton",0.0364006279621567,0.0626976488206091
2373,131,1.985294117647,13.959434123061,0.03970588235294,53.9801470588219,"Benton",0.139641864155449,0.000104460106056362
2374,237,88.448742348279,16.784787273624,178.666459543524,18.5742358931386,"Benton",0.175757067556813,0.161663472624333
2374,324,27.272727272727,0.466948781556,4.36363636363632,0.81818181818181,"Benton",0.00488632736781939,0.00394836618813401
2374,409,9.661638809621,0.233474390778,0.48308194048105,1.25601304525073,"Benton",0.00243917972356094,0.000437108924975609
2374,454,100,57.531391545692,671,34,"Benton",0.601832654136428,0.60714355905453
2374,455,100,11.437549917048,143,2,"Benton",0.119715020511576,0.12939125029031
2374,456,94.440364086676,9.116246368545,107.662015058811,4.7220182043338,"Benton",0.0953697507038019,0.0974162429177179
2375,231,100,6.036279694741,167,26,"Benton",0.0563259448911051,0.061824638856466
2375,233,100,5.553928577581,2,100,"Benton",0.0519536112694212,0.000740414836604383
2375,237,11.551257651721,0.776355607619,23.3335404564764,2.42576410686141,"Benton",0.00724908961036373,0.00863824977224188
2375,352,100,0.49613257765,18,0,"Benton",0.00462952971707713,0.00666373352943945
2375,355,100,10.423323905869,302,38,"Benton",0.0972201240586198,0.111802640327262
