SERIALNO,PWGTP,AGEP,RELP,SCHG,SEX,WKHP,ESR,PINCP
2.01E+12,17,55,0,0,1,50,1,62000
2.01E+12,20,59,1,0,2,50,1,30000
2.01E+12,16,60,0,0,1,55,6,82000
2.01E+12,19,60,1,0,2,0,6,13800
2.01E+12,27,22,14,6,1,40,6,14504
2.01E+12,24,34,0,0,1,15,1,4
2.01E+12,20,8,2,3,1,0,0,0
2.01E+12,17,5,2,2,2,0,0,0
2.01E+12,14,25,0,0,1,40,1,53000
2.01E+12,15,44,0,0,1,40,1,60500
2.01E+12,14,44,1,0,2,10,1,12000
2.01E+12,13,13,2,4,2,0,0,0
2.01E+12,13,11,2,4,2,0,0,0
2.01E+12,21,20,14,6,2,0,6,0
2.01E+12,4,38,0,0,1,40,1,41000
2.01E+12,4,9,2,3,1,0,0,0
2.01E+12,4,6,2,2,1,0,0,0
2.01E+12,18,44,0,0,2,10,6,4350
2.01E+12,14,11,2,4,1,0,0,0
2.01E+12,14,9,2,3,1,0,0,0
2.01E+12,5,58,0,0,1,0,6,17100
2.01E+12,4,50,9,0,1,0,6,12000
2.01E+12,17,41,0,6,1,0,3,0
2.01E+12,17,14,2,5,1,0,0,0
2.01E+12,11,31,0,0,1,55,1,154000
2.01E+12,14,10,2,3,1,0,0,0
2.01E+12,14,37,10,0,1,0,6,0
2.01E+12,24,20,0,0,2,15,1,1900
2.01E+12,23,20,9,6,2,16,1,4800
2.01E+12,17,18,9,0,2,16,1,4800
2.01E+12,3,33,0,6,1,45,1,30300
2.01E+12,3,29,1,0,2,0,6,900
2.01E+12,3,3,2,0,1,0,0,0
2.01E+12,3,1,2,0,1,0,0,0
2.01E+12,13,63,0,0,1,0,6,19400
2.01E+12,11,60,1,0,2,45,1,28000
2.01E+12,14,64,0,0,1,40,1,55000
2.01E+12,20,39,9,0,2,25,2,27000
2.01E+12,16,16,12,5,1,0,6,400
2.01E+12,10,13,12,4,2,0,0,0
2.01E+12,17,71,0,0,2,0,6,4800
2.01E+12,15,74,1,0,1,0,6,28700
2.01E+12,21,18,14,6,1,20,6,1804
2.01E+12,22,39,0,0,1,40,1,32000
2.01E+12,20,38,1,0,2,40,1,8000
2.01E+12,24,18,2,5,2,10,1,4000
2.01E+12,21,14,2,4,1,0,0,0
2.01E+12,11,21,0,0,1,20,3,5890
2.01E+12,32,24,0,0,2,0,6,5300
2.01E+12,43,26,10,0,1,0,6,0
2.01E+12,21,60,0,0,1,40,1,64000
2.01E+12,19,59,1,0,2,0,6,0
2.01E+12,15,59,0,0,2,60,1,81000
2.01E+12,15,62,1,0,1,30,6,52800
2.01E+12,13,78,0,0,1,0,6,30900
2.01E+12,14,76,1,0,2,0,6,4200
2.01E+12,31,47,0,0,1,60,1,75000
2.01E+12,28,45,1,0,2,30,1,12000
2.01E+12,34,16,2,5,1,20,1,1200
2.01E+12,23,14,2,4,1,0,0,0
2.01E+12,23,7,2,3,1,0,0,0
2.01E+12,7,30,0,7,2,40,1,10000
2.01E+12,16,54,0,0,2,40,1,23000
2.01E+12,12,57,1,0,1,30,2,9001
2.01E+12,27,25,2,0,1,45,1,27400
2.01E+12,19,53,0,0,1,50,1,62753
2.01E+12,19,53,1,0,2,0,6,-1113
2.01E+12,27,57,0,0,1,58,1,58000
2.01E+12,28,54,1,0,2,0,6,0
2.01E+12,11,22,0,6,1,8,1,7000
2.01E+12,18,20,10,6,2,30,1,5000
2.01E+12,17,41,0,0,1,48,1,65000
2.01E+12,15,42,1,0,2,35,2,14900
2.01E+12,17,13,2,4,2,0,0,0
2.01E+12,16,10,2,4,2,0,0,0
